Depuis	ADV	depuis
cele	DET	cel
eure	NOUN	erer
que	SCONJ	que
Godefroys	PROPN	godefroi
de	ADP	de
Builon	PROPN	belonit
et	CCONJ	et
la	DET	le
baronie	NOUN	baronie
de	ADP	de
France	PROPN	france
orent	VERB	avoir
conquise	VERB	conquerre
Antioche	PROPN	anticoche
et	CCONJ	et
Jherusalem	PROPN	jesurable
,	PUNCT	,
et	CCONJ	et
il	PRON	il
orent	VERB	avoir
remise	VERB	remetre
la	DET	le
crestienté	NOUN	crestiienté
dedenz	ADP	dedenz
,	PUNCT	,
qui	PRON	qui
par	ADP	par
lonc	ADJ	lonc
tens	NOUN	tens
en	ADP	en
avoit	VERB	avoir
esté	VERB	être
hors	ADV	hors
mise	VERB	metre
,	PUNCT	,
n'	ADV	ne
orent	VERB	avoir
crestien	ADJ	crestiien
victoire	NOUN	victoire
contre	ADP	contre
Sarrezins	PROPN	sarrense
en	ADP	en
la	DET	le
terre	NOUN	terre
deSurie	VERB	desurre
,	PUNCT	,
fors	ADV	fors
seulement	ADV	seulement
d'	ADP	de
Acre	NOUN	acre
,	PUNCT	,
qui	PRON	qui
fu	VERB	estre
reconquise	NOUN	reconquerre
au	ADP.DET	a.le
tans	NOUN	tens
Solehadin	PROPN	soleindame
,	PUNCT	,
au	ADP.DET	a.le
tens	NOUN	tens
le	DET	le
roy	NOUN	roi
Phelipe	NOUN	philippe
,	PUNCT	,
dont	PRON	dont
vous	PRON	vous
orrez	VERB	orer
parler	VERB	parler
ci	ADV	ci
en	ADP	en
avant	ADV	avant
,	PUNCT	,
et	CCONJ	et
de	ADP	de
Coustantinoble	PROPN	coutandre
que	SCONJ	que
li	DET	le
dus	NOUN	duc
de	ADP	de
Venise	VERB	venir
conquist	VERB	conquérir
,	PUNCT	,
qui	PRON	qui
estoit	VERB	estre
avulez	VERB	avoil
.	PUNCT	.
Si	ADV	si
avint	VERB	avenir
uns	DET	un
tans	NOUN	tens
aprés	ADP	après
la	DET	le
mort	NOUN	mort
le	DET	le
roy	NOUN	roi
Godefroyt	PROPN	godefroid
et	CCONJ	et
le	DET	le
roy	NOUN	roi
Bauduin	PROPN	baudouin
son	DET	son
frere	NOUN	frere
,	PUNCT	,
qui	PRON	qui
furent	VERB	estre
roy	NOUN	roi
de	ADP	de
Jherusalem	PROPN	jesurable
li	DET	le
uns	DET	un
aprés	ADP	après
l'	DET	le
autre	ADJ	autre
,	PUNCT	,
que	SCONJ	que
il	PRON	il
ot	VERB	avoir
un	DET	un
roy	NOUN	roi
en	ADP	en
France	PROPN	france
qui	PRON	qui
ot	VERB	avoir
a	ADP	a
non	NOUN	nom
Raouls	PROPN	raoule
li	DET	le
Justicierres	PROPN	justicier
.	PUNCT	.
Et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
avoyt	VERB	avoir
a	ADP	a
non	NOUN	nom
Justicieres	PROPN	justicier
pour	ADP	pour
ce	PRON	ce
qu'	SCONJ	que
il	PRON	il
tenoit	VERB	tenir
trez	NOUN	traire
bien	NOUN	bien
justice	NOUN	justicier
,	PUNCT	,
ne	ADV	ne
ne	ADV	ne
pendoit	VERB	pendre
pas	NOUN	pas
les	DET	le
maufeiteurs	NOUN	mauvoité
a	ADP	a
son	DET	son
brayeul	ADJ	braille
,	PUNCT	,
si	ADV	si
comme	SCONJ	comme
font	VERB	faire
ore	NOUN	ore
endroyt	NOUN	endroit
li	DET	le
mauvais	ADJ	mauvais
prince	NOUN	prince
,	PUNCT	,
qui	PRON	qui
desirrent	VERB	desirrer
les	DET	le
mellees	VERB	melee
,	PUNCT	,
et	CCONJ	et
les	DET	le
maus	NOUN	mal
a	ADP	a
faire	VERB	faire
pour	ADP	pour
leur	DET	leur
borses	NOUN	bourse
emplir	NOUN	emplir
.	PUNCT	.
Mauvaisement	ADV	mauvaisement
lor	DET	lor
souvient	VERB	souvenir
de	ADP	de
l'	DET	le
escriture	NOUN	écrire
,	PUNCT	,
qui	PRON	qui
dit	VERB	dire
par	ADP	par
la	DET	le
boche	NOUN	boche
David	PROPN	david
le	DET	le
prophete	NOUN	prophete
:	PUNCT	:
«	PUNCT	"
Faytes	VERB	faire
jugement	NOUN	jugement
et	CCONJ	et
justice	NOUN	justicier
en	ADP	en
touz	DET	tout
tens	NOUN	tens
.	PUNCT	.
»	PUNCT	"
Cil	DET	cel
roys	NOUN	roi
Raouls	PROPN	raoule
si	ADV	si
ot	VERB	avoir
de	ADP	de
safame	NOUN	savoir
deus	DET	deux
fiuz	NOUN	fief
,	PUNCT	,
dont	PRON	dont
li	DET	le
aygnez	VERB	aingne
ot	VERB	avoir
a	ADP	a
non	NOUN	nom
Robers	NOUN	rober
,	PUNCT	,
et	CCONJ	et
li	DET	le
maisnez	VERB	maisniete
ot	VERB	avoir
non	NOUN	nom
Loeys	PROPN	loyal
.	PUNCT	.
Cil	DET	cel
Robers	NOUN	rober
estoit	VERB	estre
de	ADP	de
petit	ADJ	petit
esciantre	NOUN	escïentre
,	PUNCT	,
ne	ADV	ne
riens	NOUN	rien
ne	ADV	ne
savoit	VERB	savoir
,	PUNCT	,
et	CCONJ	et
Loueys	PROPN	louer
estoyt	VERB	être
plus	ADV	plus
sages	ADJ	sage
,	PUNCT	,
et	CCONJ	et
plus	ADV	plus
entendant	VERB	entendre
.	PUNCT	.
Si	ADV	si
avint	VERB	avenir
que	SCONJ	que
li	DET	le
roys	NOUN	roi
lor	DET	lor
peres	NOUN	père
morut	VERB	morir
,	PUNCT	,
et	CCONJ	et
li	DET	le
couvint	VERB	couventir
paier	VERB	payer
la	DET	le
dette	NOUN	dette
que	SCONJ	que
nous	PRON	nous
paierons	NOUN	paiier
tuit	DET	tot
,	PUNCT	,
et	CCONJ	et
s'	DET	soi
assemblerent	VERB	assembler
li	DET	le
per	NOUN	per
et	CCONJ	et
li	DET	le
baron	NOUN	baron
tuit	DET	tot
de	ADP	de
France	PROPN	france
pour	ADP	pour
faire	VERB	faire
roy	NOUN	roi
de	ADP	de
l'	DET	le
aygné	VERB	aigne
frere	NOUN	frere
.	PUNCT	.
Mais	CCONJ	mais
il	PRON	il
y	ADV	y
ot	VERB	avoir
un	DET	un
des	ADP.DET	de.le
pers	NOUN	pers
,	PUNCT	,
qui	PRON	qui
mout	ADV	mout
estoit	VERB	estre
sages	ADJ	sage
,	PUNCT	,
qui	PRON	qui
dist	VERB	dire
:	PUNCT	:
«	PUNCT	"
Biau	ADJ	bel
seigneur	NOUN	seigneur
,	PUNCT	,
se	PRON	se
vous	PRON	vous
m'	PRON	je
en	ADP	en
creez	VERB	croire
,	PUNCT	,
nous	PRON	nous
ferons	NOUN	faire
roy	NOUN	roi
de	ADP	de
Loueys	PROPN	louer
,	PUNCT	,
qui	PRON	qui
est	VERB	estre
sages	ADJ	sage
et	CCONJ	et
escaitreus	NOUN	escartier
,	PUNCT	,
et	CCONJ	et
vous	PRON	vous
veez	VERB	vëoir
bien	NOUN	bien
que	SCONJ	que
Robers	NOUN	rober
ne	ADV	ne
set	VERB	savoir
nient	ADV	néant
,	PUNCT	,
et	CCONJ	et
se	PRON	se
vous	PRON	vous
en	ADP	en
faytes	VERB	faire
roy	NOUN	roi
,	PUNCT	,
li	DET	le
regnes	NOUN	renge
en	ADP	en
porra	VERB	pöoir
empirer	VERB	emperir
,	PUNCT	,
et	CCONJ	et
entre	ADP	entre
nous	PRON	nous
naistre	NOUN	naistre
granz	ADJ	grant
descorz	ADP	descorde
,	PUNCT	,
quar	CCONJ	car
il	PRON	il
est	VERB	estre
granz	ADJ	grant
mestiers	NOUN	mestier
a	ADP	a
nous	PRON	nous
et	CCONJ	et
au	ADP.DET	a.le
pueple	NOUN	peuple
qu'	SCONJ	que
il	PRON	il
ait	VERB	avoir
roi	NOUN	roi
en	ADP	en
France	PROPN	france
qui	PRON	qui
gouverne	NOUN	gouverner
le	DET	le
royaume	NOUN	royaume
,	PUNCT	,
et	CCONJ	et
vous	PRON	vous
savez	VERB	savoir
bien	NOUN	bien
commant	ADV	comment
il	PRON	il
est	VERB	estre
de	ADP	de
mon	DET	mon
seignor	NOUN	seignor
Robert	PROPN	robert
.	PUNCT	.
Et	CCONJ	et
Dieu	PROPN	dieu
le	DET	le
set	VERB	savoir
que	SCONJ	que
je	PRON	je
nou	PRON	nou
dis	VERB	dire
se	PRON	se
pour	ADP	pour
bien	NOUN	bien
non	NOUN	nom
,	PUNCT	,
et	CCONJ	et
autant	ADV	autant
m'	PRON	je
est	VERB	estre
li	DET	le
ainsnez	ADJ	ensein
comme	SCONJ	comme
li	DET	le
puisnés	NOUN	poissant
,	PUNCT	,
si	ADV	si
en	ADP	en
faitez	VERB	faire
ce	PRON	ce
que	SCONJ	que
Dieuz	PROPN	dieu
vouz	DET	vout
enseignera	VERB	enseigner
de	ADP	de
bien	NOUN	bien
.	PUNCT	.
-	PUNCT	-
Par	ADP	par
foy	NOUN	foi
,	PUNCT	,
dient	VERB	dire
li	DET	le
baron	NOUN	baron
et	CCONJ	et
li	DET	le
per	NOUN	per
,	PUNCT	,
il	PRON	il
nouz	PRON	notre
semble	NOUN	sembler
que	SCONJ	que
vous	PRON	vous
dittes	VERB	dire
bien	NOUN	bien
,	PUNCT	,
et	CCONJ	et
vous	PRON	vous
en	ADP	en
avez	VERB	avoir
monstree	NOUN	montre
bonne	ADJ	bon
raison	NOUN	raison
.	PUNCT	.
»	PUNCT	"
Ainsi	ADV	ainsi
s'	DET	soi
acorderenttuit	VERB	acorderdire
au	ADP.DET	a.le
mainné	VERB	mener
,	PUNCT	,
et	CCONJ	et
fu	VERB	estre
sacrez	VERB	savor
a	ADP	a
Rains	NOUN	rein
a	ADP	a
roy	NOUN	roi
,	PUNCT	,
et	CCONJ	et
enoinz	NOUN	enoiin
de	ADP	de
la	DET	le
Sainte	ADJ	saint
Ampole	NOUN	ampeleu
que	SCONJ	que
Dieux	PROPN	dieu
envoia	VERB	envoyer
des	ADP.DET	de.le
cieux	NOUN	cil
a	ADP	a
saint	ADJ	saint
Remi	PROPN	remi
.	PUNCT	.
Et	CCONJ	et
de	ADP	de
mon	DET	mon
seignor	NOUN	seignor
Robert	PROPN	robert
ferez	VERB	faire
