Bien	ADV	bien
sacent	VERB	savoir
tot	DET	tot
cil	DET	cel
ki	PRON	qui
sont	VERB	estre
et	CCONJ	et
ki	PRON	qui
seront	VERB	estre
ki	PRON	qui
cest	DET	cest
escrit	NOUN	écrit
veront	VERB	voir
et	CCONJ	et
oront	VERB	ouïr
que	SCONJ	que
li	DET	le
eskievin	NOUN	échevin
de	ADP	de
Saint	ADJ	saint
Brisce	NOUN	brise
,	PUNCT	,
ki	PRON	qui
les	DET	le
otrois	NOUN	otroiier
et	CCONJ	et
les	DET	le
rentes	NOUN	rente
des	ADP.DET	de.le
povres	ADJ	pauvre
ont	VERB	avoir
a	ADP	a
warder	VERB	garder
,	PUNCT	,
arenterent	VERB	arrenter
a	ADP	a
Felipon	NOUN	peillier
Mousket	PROPN	mousket
et	CCONJ	et
a	ADP	a
son	DET	son
oir	NOUN	hoir
par	ADP	par
.vj.	DET	six
d.	NOUN	denier
blans	ADJ	blanc
u	CCONJ	ou
flamens	ADJ	flamand
de	ADP	de
cens	DET	cent
a	ADP	a
le	DET	le
Saint	ADJ	saint
Remi	PROPN	remi
et	CCONJ	et
.v.	DET	cinc
sols	NOUN	sou
a	ADP	a
deus	DET	deux
tiermines	NOUN	termine
l'	DET	le
an	ADP	en
si	ADV	si
com	SCONJ	come
le	DET	le
Candeler	VERB	cantel
et	CCONJ	et
fieste	NOUN	fête
Saint	ADJ	saint
Piere	NOUN	piere
entrant	VERB	entrer
aoust	NOUN	août
,	PUNCT	,
le	DET	le
siste	ADJ	sëoir
part	NOUN	part
devant	ADP	devant
et	CCONJ	et
deriere	ADP	derrière
de	ADP	de
le	DET	le
maizon	NOUN	maison
de	ADP	de
piere	NOUN	piere
ki	PRON	qui
fu	VERB	estre
Wibiert	PROPN	wibiert
de	ADP	de
Maude	ADJ	maulde
,	PUNCT	,
borjois	NOUN	borjois
de	ADP	de
Tornai	PROPN	torner
,	PUNCT	,
qu'	SCONJ	que
il	PRON	il
dona	VERB	doner
as	VERB	a.le
povres	ADJ	pauvre
por	ADP	por
Deu	PROPN	dieu
quant	SCONJ	cant
il	PRON	il
moru	NOUN	morir
.	PUNCT	.
La	DET	le
fu	VERB	estre
a	ADP	a
cest	DET	cest
arentement	NOUN	arnetement
com	SCONJ	come
eskievins	NOUN	échevin
Nicole	PROPN	nicole
Cars	CCONJ	cars
de	ADP	de
Vake	NOUN	vasqel
,	PUNCT	,
Wibiers	PROPN	wibiert
de	ADP	de
Morelporte	PROPN	moreller
,	PUNCT	,
Nicole	PROPN	nicole
li	DET	le
Borgnes	PROPN	borgne
,	PUNCT	,
Jakemes	PROPN	jacques
Warisons	PROPN	warsois
,	PUNCT	,
Jehans	PROPN	jean
de	ADP	de
States	PROPN	state
,	PUNCT	,
Jakemes	PROPN	jacques
de	ADP	de
Vilers	NOUN	vilers
,	PUNCT	,
Ades	PROPN	adas
Parlemens	PROPN	parlement
.	PUNCT	.
Tot	DET	tot
cist	DET	cest
i	ADV	i
furent	VERB	estre
com	SCONJ	come
eskievins	NOUN	échevin
.	PUNCT	.
Apriés	ADP	après
,	PUNCT	,
cierte	ADJ	certe
cose	NOUN	chose
soit	VERB	estre
que	SCONJ	que
frere	NOUN	frere
Sohiers	NOUN	soisir
de	ADP	de
Maroi	PROPN	mari
et	CCONJ	et
li	DET	le
consaus	NOUN	conseil
de	ADP	de
se	PRON	se
maison	NOUN	maison
arenterent	VERB	arrenter
a	ADP	a
Felipon	NOUN	peillier
Mosket	PROPN	mosset
et	CCONJ	et
a	ADP	a
son	DET	son
oir	NOUN	hoir
par	ADP	par
.iv.	DET	quinze
d.	NOUN	denier
de	ADP	de
cens	DET	cent
blanc	ADJ	blanc
u	CCONJ	ou
flamenc	NOUN	flamand
a	ADP	a
le	DET	le
Saint	ADJ	saint
Remi	PROPN	remi
et	CCONJ	et
sols	NOUN	sou
.i.	DET	un
d.	NOUN	denier
mains	NOUN	main
,	PUNCT	,
a	ADP	a
ces	DET	ce
deux	DET	deux
tiermes	NOUN	terme
ki	PRON	qui
devant	ADP	devant
sont	VERB	estre
dit	VERB	dire
,	PUNCT	,
tele	DET	tel
partie	NOUN	partie
com	SCONJ	come
mestre	NOUN	maistre
Jehan	PROPN	jean
de	ADP	de
Maude	ADJ	maulde
estoit	VERB	estre
eskeuwe	VERB	écheusir
en	ADP	en
le	DET	le
maison	NOUN	maison
son	DET	son
pere	NOUN	père
devant	ADP	devant
et	CCONJ	et
deriere	ADP	derrière
,	PUNCT	,
qu'	SCONJ	que
il	PRON	il
lor	DET	lor
avoit	VERB	avoir
donee	VERB	doner
por	ADP	por
les	DET	le
armes	NOUN	arme
d'	ADP	de
aus	PRON	il
.	PUNCT	.
Et	CCONJ	et
par	ADP	par
devant	ADP	devant
ces	DET	ce
eskievins	NOUN	échevin
ki	PRON	qui
sont	VERB	estre
dit	VERB	dire
fu	VERB	estre
fes	NOUN	fais
cis	DET	cist
otroi	VERB	otroiier
de	ADP	de
frere	NOUN	frere
Sohier	NOUN	sohier
et	CCONJ	et
son	DET	son
conseil	NOUN	conseil
a	ADP	a
Phelipphon	PROPN	philippe
Mouschet	PROPN	mouscher
.	PUNCT	.
Encor	ADP	encore
soit	VERB	estre
ciertainnement	NOUN	certainement
seu	VERB	sol
que	SCONJ	que
mestres	NOUN	maistre
Jehans	PROPN	jean
de	ADP	de
Maude	ADJ	maulde
,	PUNCT	,
canones	NOUN	chanoine
de	ADP	de
Tornai	PROPN	torner
,	PUNCT	,
si	ADV	si
arenta	VERB	arenter
a	ADP	a
Felipon	NOUN	peillier
Mouschet	PROPN	mouscher
et	CCONJ	et
a	ADP	a
son	DET	son
oir	NOUN	hoir
,	PUNCT	,
par	ADP	par
.vj.	DET	six
d.	NOUN	denier
blans	ADJ	blanc
u	CCONJ	ou
flamens	ADJ	flamand
de	ADP	de
cens	DET	cent
a	ADP	a
le	DET	le
Saint	ADJ	saint
Remi	PROPN	remi
et	CCONJ	et
.xiiij.	DET	treize
sols	NOUN	sou
par	ADP	par
an	ADP	en
a	ADP	a
ces	DET	ce
deus	DET	deux
tiermines	NOUN	termine
ki	PRON	qui
dit	VERB	dire
sont	VERB	estre
,	PUNCT	,
tele	DET	tel
partie	NOUN	partie
com	SCONJ	come
a	ADP	a
l'	DET	le
enfant	NOUN	enfant
se	PRON	se
sereur	NOUN	seror
,	PUNCT	,
qu'	SCONJ	que
ele	PRON	il
eut	VERB	avoir
de	ADP	de
Jehan	PROPN	jean
Bilehet	PROPN	bilee
,	PUNCT	,
estoit	VERB	estre
eskeuwe	VERB	écheusir
,	PUNCT	,
dont	PRON	dont
il	PRON	il
estoit	VERB	estre
bailles	NOUN	baille
et	CCONJ	et
warde	NOUN	garde
,	PUNCT	,
de	ADP	de
le	DET	le
maison	NOUN	maison
de	ADP	de
piere	NOUN	piere
ki	PRON	qui
nomee	VERB	nomer
est	VERB	estre
.	PUNCT	.
Por	ADP	por
ço	PRON	ce
q'	SCONJ	que
il	PRON	il
n'	ADV	ne
avoit	VERB	avoir
son	DET	son
age	NOUN	âge
et	CCONJ	et
por	ADP	por
le	DET	le
miols	ADV	mieux
de	ADP	de
l'	DET	le
enfant	NOUN	enfant
le	DET	le
fist	VERB	faire
.	PUNCT	.
Et	CCONJ	et
fu	VERB	estre
cierkemanee	VERB	cirecement
