En	PRE	en
toutes	DET	tout
choses	NOUN	chose
commencier	VERB	commencer
on	PRON	on
doit	VERB	devoir
appeller	VERB	appeler
le	DET	le
Createur	NOUN	créateur
des	ADP.DET	de.le
creatures	NOUN	créature
,	PUNCT	,
qui	PRON	qui
est	VERB	estre
maistre	NOUN	maître
de	ADP	de
toutes	DET	tout
les	DET	le
choses	NOUN	chose
faictes	VERB	faire
et	CCONJ	et
a	ADP	a
faire	VERB	faire
,	PUNCT	,
qui	PRON	qui
doivent	VERB	devoir
tendre	NOUN	tendre
a	ADP	a
perfection	NOUN	perfection
de	ADP	de
bien	NOUN	bien
et	CCONJ	et
les	DET	le
autres	PRON	autre
pervenir	NOUN	pervenir
selon	ADJ	selon
les	DET	le
vices	NOUN	vice
des	ADP.DET	de.le
creatures	NOUN	créature
.	PUNCT	.
Et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
,	PUNCT	,
au	ADP.DET	a.le
commencement	NOUN	commencement
de	ADP	de
ceste	DET	cest
hystoire	NOUN	histioration
,	PUNCT	,
je	PRON	je
,	PUNCT	,
cognoicent	VERB	conjanger
que	SCONJ	que
je	PRON	je
ne	ADV	ne
soye	NOUN	soie
pas	NOUN	pas
digne	ADJ	digne
de	ADP	de
lui	PRON	lui
requerir	VERB	requerre
,	PUNCT	,
supplie	VERB	supple
a	ADP	a
sa	DET	son
haulte	ADJ	haut
dignité	NOUN	dignier
que	SCONJ	que
ceste	DET	cest
histoire	NOUN	histoire
je	PRON	je
puise	VERB	pöoir
achever	VERB	achever
a	ADP	a
sa	DET	son
gloire	NOUN	gloire
et	CCONJ	et
louenges	NOUN	louange
,	PUNCT	,
et	CCONJ	et
au	ADP.DET	a.le
plaisir	NOUN	plaisir
de	ADP	de
mon	DET	mon
tres	ADV	très
hault	ADJ	haut
,	PUNCT	,
puissant	ADJ	poissant
et	CCONJ	et
redoubté	VERB	redouter
seigneur	NOUN	seigneur
,	PUNCT	,
Jehan	PROPN	jean
,	PUNCT	,
filz	NOUN	fil
de	ADP	de
roy	NOUN	roi
de	ADP	de
France	PROPN	france
,	PUNCT	,
duc	NOUN	duc
de	ADP	de
Berry	PROPN	berry
et	CCONJ	et
d'	ADP	de
Ouvergne	PROPN	ouverner
,	PUNCT	,
conte	NOUN	comte
de	ADP	de
Poictou	PROPN	poitre
et	CCONJ	et
d'	ADP	de
Ouvergne	PROPN	ouverner
,	PUNCT	,
laquelle	DET	lequel
histoire	NOUN	histoire
j'	PRON	je
ay	VERB	avoir
commencé	VERB	commencer
selon	ADJ	selon
les	DET	le
vrayes	ADJ	vrai
coroniques	NOUN	corondre
que	SCONJ	que
j'	PRON	je
ai	VERB	avoir
euez	VERB	avoir
tant	ADV	tant
de	ADP	de
lui	PRON	lui
comme	SCONJ	comme
du	ADP.DET	de.le
conte	NOUN	comte
de	ADP	de
Salbery	PROPN	sauberc
en	ADP	en
Angleterre	PROPN	angleterre
et	CCONJ	et
plusieurs	DET	plusieurs
livres	NOUN	livre
qui	PRON	qui
ont	VERB	avoir
esté	VERB	être
trouvez	VERB	trouver
,	PUNCT	,
par	ADP	par
ce	PRON	ce
que	SCONJ	que
sa	DET	son
noble	ADJ	noble
serour	NOUN	seror
Marie	PROPN	marie
,	PUNCT	,
fille	NOUN	fille
