	form	lemma_pos	cognates	TL:	DMF:	FEW:	Gdf:
0	júeús	juel (1327)__s.	['FEW: 5,43a jocus', 'Gdf: 4,647b joiel 2', 'TL: 4,1687 jöel', 'DMF:  joyau']	jöel	joyau	a jocus	b joiel
1	juéús	juel (1327)__s.	['FEW: 5,43a jocus', 'Gdf: 4,647b joiel 2', 'TL: 4,1687 jöel', 'DMF:  joyau']	jöel	joyau	a jocus	b joiel
2	liúns	genuillun (c.1136-37)__s.	['FEW: 4,114a genuculum', 'Gdf: 4,260b genoillon', 'TL: 4,255 genoillons', 'DMF:  genouillons']	genoillons	genouillons	a genuculum	b genoillon
3	lúinteíne	luinteinement (c.1136-37)__adv.	['FEW: 5,406b *longitanus', 'Gdf: 5,21b lointainement', 'TL: 5,610 lointain (lointainement)']	lointain (lointainement)		b *longitanus	b lointainement
4	malvesyve	malvoisin1 (1396)__s.	['FEW: 6/i,94b Malvesie', 'DMF:  malvoisin']		malvoisin	/ib Malvesie	
5	máschún	mason1 (s.xii)__s.	['FEW: 16,506a *makjo', 'TL: 5,760 maçon', 'DMF:  maçon']	maçon	maçon	a *makjo	
6	múad	muer1 (s.xii1/3)__v.a.	['FEW: 6/iii,284b mutare', 'Gdf: 5,441a muer 1', 'TL: 6,405 müer', 'DMF:  muer']	müer	muer	/iiib mutare	a muer
7	mungiu	monjoie (s.xii2/4)__interj.	['FEW: 6/iii,90b mons', 'Gdf: 5,399c montjoie 1 /5,400c montjoie 2', 'TL: 6,212 monjoie', 'DMF:  montjoie']	monjoie	montjoie	/iiib mons	c montjoie  /c montjoie
8	ntien	ancien (s.xii1/3)__a.	['FEW: 24,637b ante', 'Gdf: 1,284b ancien', 'TL: 1,381 anciien', 'DMF:  ancien']	anciien	ancien	b ante	b ancien
9	ntien	contien (1213)__s.	['FEW: 2/ii,1107a continere', 'Gdf: 2,265b contien', 'TL: 2,772 contien', 'DMF:  contient']	contien	contient	/iia continere	b contien
10	ombrere	encumbrer (s.xii1/3)__v.a.	['FEW: 2/ii,938b *comboros', 'Gdf: 3,110c encombrer /3,111c encombrier 1', 'TL: 3,224 encombrer /3,226 encombrier', 'DMF:  encombrer / acombrer']	encombrer / encombrier	encombrer / acombrer	/iib *comboros	c encombrer /c encombrier
