	form	lemma_pos	cognates	TL:	DMF:	FEW:	Gdf:
0	peautur	peautre1 (c.1292)__s.	['FEW: 8,504b *piltrum', 'Gdf: 6,54c peautre 3', 'TL: 7,522 peautre 1', 'DMF:  peautre 2']	peautre	peautre	b *piltrum	c peautre
1	pinchúres	pinceours (s.xii2)__s._pl.	['FEW: 8,544a *pints-', 'Gdf: 6,165b pinchure', 'TL: 7,955 pincëure', 'DMF:  pinchoure']	pincëure	pinchoure	a *pints-	b pinchure
2	presbítérie	presbiterie (c.1200)__s.	['FEW: 9,360b presbyterium', 'Gdf: 6,388a presbitere /6,388a presbyteree', 'TL: 7,1787 presbitere /7,1787 presbiteree', 'DMF:  presbytère / presbytérée']	presbitere / presbiteree	presbytère / presbytérée	b presbyterium	a presbitere /a presbyteree
3	profruit	profrer (1260)__v.a.	['FEW: 9,428b proferre', 'TL: 7,1951 proferer /7,1952 proferir', 'DMF:  proférer / ofrir']	proferer / proferir	proférer / ofrir	b proferre	
4	propositiún	proposiciun (s.xii1)__s.	['FEW: 9,457a proposito', 'TL: 7,1990 proposicïon', 'DMF:  proposition']	proposicïon	proposition	a proposito	
5	purluignance	purluignance (c.1150)__s.	['FEW: 5,405a longe', 'Gdf: 6,295a porlongance', 'TL: 7,1518 porloignance', 'DMF:  pourloignance']	porloignance	pourloignance	a longe	a porlongance
6	pursywyrent	pursivre (c.1136-37)__v.a.	['FEW: 9,465a prosequi', 'Gdf: 6,311b porsuivre 1 /6,311b porsuivre 2', 'TL: 7,1560 porsivant /7,1567 porsivre', 'DMF:  poursuivre']	porsivant / porsivre	poursuivre	a prosequi	b porsuivre  /b porsuivre
7	purtraitúre	purtraiture (s.xii3/4)__s.	['FEW: 13,181b trahere', 'Gdf: 6,322a portraiture', 'TL: 7,1612 portraiture', 'DMF:  portraiture']	portraiture	portraiture	b trahere	a portraiture
8	putevile	putevile (1396)__s.f.	['FEW: *9,634b putidus', 'DMF:  puteville']		puteville	*b putidus	
9	rampódnér	ramposner (1136-37)__v.a.	['FEW: 9,478b prothyrum', 'Gdf: 6,586a ramposner', 'TL: 8,263 ramponer', 'DMF:  ramponner']	ramponer	ramponner	b prothyrum	a ramposner
10	resonabelment	[raisunablement] (s.xii1/3)__adv.	['FEW: 10,108b ratio', 'Gdf: 6,565c raisnablement', 'TL: 8,207 raisnable (raisnablement) /8,224 raisonable (raisonablement)', 'DMF:  raisonnablement']	raisnable (raisnablement) / raisonable (raisonablement)	raisonnablement	b ratio	c raisnablement
11	revelatiún	revelation (s.xii1)__s.	['FEW: 10,350a revelare', 'TL: 8,1198 revelacïon', 'DMF:  révélation']	revelacïon	révélation	a revelare	
12	sagittarie	sagitaire (1113-19)__s.	['FEW: 11,58b sagitta', 'Gdf: 7,282c sagitaire', 'TL: 9,50 sagitaire 1', 'DMF:  sagittaire 1']	sagitaire	sagittaire	b sagitta	c sagitaire
13	seintuarie	seintuaire (s.xii1)__s.	['FEW: 11,149a sanctuarium', 'Gdf: 7,292a saintuaire 2', 'TL: 9,84 saintüaire', 'DMF:  saintuaire / sanctuaire 1']	saintüaire	saintuaire / sanctuaire	a sanctuarium	a saintuaire
